SMILES,logRIE
c1cc(ccc1C(=O)O)N,-0.06
CC(C)c1ccc(cc1)C(=O)O,0.05
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,0.07
c1cc(cc(c1)N)C(=O)O,0.09
c1cc(ccc1C(=O)O)O,0.13
c1cc(cc(c1)Cl)C(=O)O,0.48
c1(c(c(c(c(c1F)F)F)F)F)C(=O)O,0.61
CN(C)c1cccc(c1)C(=O)O,0.71
c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,0.79
c1cc(cc(c1)C(F)(F)F)C(=O)O,1.16
CC(C)(C)c1ccc(cc1)C(=O)O,1.2
C1=CC(=CC(=C1)SC(F)(F)F)C(=O)O,1.28
c1cc(cc(c1)S(=O)(=O)C(F)(F)F)C(=O)O,1.69
FC(F)(F)C(F)(F)C(F)(F)SC1=CC=CC(C(O)=O)=C1,1.84
O=C(O)C1=CC(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=CC=C1,2.14
O=C(O)C1=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=CC=C1,2.15
C1=CC(=CC=C1C(=O)O)S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F,2.2
c1ccc(c(c1)O)Br,-0.8
c1ccc(c(c1)[N+](=O)[O-])O,-0.62
CC(C)c1ccccc1O,-0.61
CC(C)(C)c1ccccc1O,-0.46
c1ccc(cc1)c2ccccc2O,-0.01
c1cc(ccc1O)Cl,0.03
c1cc(cc(c1)Cl)O,0.22
c1ccc(c(c1)C#N)O,0.28
c1ccc(cc1)c2ccc(cc2)O,0.35
CC(C)(C)c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,0.55
c1cc(cc(c1)Br)O,0.63
c1cc(cc(c1)O)[N+](=O)[O-],0.78
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])O,0.84
c1(c(c(c(c(c1F)F)F)F)F)O,0.91
c1c(c(c(c(c1F)F)O)F)F,0.97
c1cc(ccc1[N+](=O)[O-])O,0.97
c1cc(c(cc1[N+](=O)[O-])O)[N+](=O)[O-],0.98
c1ccc(cc1)/N=N/c2ccc(cc2)O,1.02
c1cc(c(c(c1)[N+](=O)[O-])O)[N+](=O)[O-],1.06
c1c(c(c(c(c1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-],1.07
OC(C=C1)=C2C(C=CC=C2)=C1/N=N/C3=CC=C([N+]([O-])=O)C=C3,1.77
C12=C(C(=C(C(=C1F)O)F)F)C(=C(C(=C2F)F)F)F,1.94
c1(c(c(c(c(c1Br)Br)Br)Br)Br)O,1.96
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)O,1.97
c1(c(c(c(c(c1F)F)O)F)F)c2c(c(c(c(c2F)F)F)F)F,2.17
c1(c(c(c(c(c1C(F)(F)F)C(F)(F)F)O)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.3
OC1=C(S(OCC(F)(F)F)(=O)=O)C=C(S(=O)(OCC(F)(F)F)=O)C=C1S(=O)(OCC(F)(F)F)=O,3.14
OC1=C(S(OCC(F)(F)C(F)F)(=O)=O)C=C(S(=O)(OCC(F)(C(F)F)F)=O)C=C1S(=O)(OCC(F)(C(F)F)F)=O,3.49
c1ccc(c(c1)C(=O)O)O,0.39
c1c(cc(c(c1C(=O)O)O)[N+](=O)[O-])[N+](=O)[O-],1.22
c1c(cc(c(c1C(=O)O)O)I)I,2.05
C(CN)C(=O)O,-2.46
C(CC(=O)O)CN,-1.52
C1=CC=C2C(=C1)C(=O)N(C2=O)O,-0.43
C/C=C/C=C/C(=O)O,-0.4
c1ccc2c(c1)C(=O)NC2=O,0.05
c1cc(cc(c1)S(=O)(=O)N)[N+](=O)[O-],1.5
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)O,1.54
c1ccc2c(c1)cccc2S(=O)(=O)O,1.6
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O,1.68
CCCCCCCCCCCCCC(=O)O,1.91
c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)S(=O)(=O)O,2.1
O=S(C1=C(F)C(F)=C(F)C(F)=C1F)(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)=O,2.29
O=S(C1=CC=C(C)C=C1)(NS(C2=CC=C([N+]([O-])=O)C=C2)(=O)=O)=O,2.46
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,2.77
