Compound,logRIE
O=C(O)CC(=O)O,0.256130731
O=C(O)CCC(=O)O,0.587915165
O=C(O)CCCC(=O)O,0.832710731
O=C(O)CCCCC(=O)O,1.050116331
OC(=O)CCCCCC(=O)O,0.9214613
O=C(O)CCCCCCC(=O)O,1.199708133
O=C(O)CCCCCCCC(=O)O,1.068614635
O=C(O)\C=C/C(=O)O,1.136002635
O=C(O)\C=C(/C(=O)O)C,1.190324259
OC(C/C(C(O)=O)=C/C(O)=O)=O,0.534002646
OC([C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O)=O,0.53492683
O=C(O)CC(O)C(=O)O,0.633248
CC(=O)CCC(=O)O,0.146938832
CC(OCC(O)=O)=O,0.459820408
OC(=O)CC(O)(C(=O)O)CC(=O)O,0.58791758
CC1(C)C(CC(O)=O)CC1C(C)=O,0.583462096
OC(C(O)C(C)C)=O,1.100057012
OC(C1CCC(C(O)=O)CC1)=O,0.567429848
OC1=CC=C(O)C=C1C(O)=O,1.05498263
OC1=CC=C(/C=C/C(O)=O)C=C1,1.076988586
OC(C1=CC=CC=C1C(O)=O)=O,0.631147025
OC1=CC=CC=C1C(O)=O,1.246752774
COC1=CC=C(C(O)=O)C=C1,-0.693428862
OC(C1=CC2=CC=CC=C2C=C1C(O)=O)=O,1.462509432
CC(C)(C(CC(O)=O)C(O)=O)C(O)=O,1.379190808
OC(CC1C(C)(C)C(C(O)=O)C1)=O,1.094146798
OC(/C=C/C1=CC=CC=C1)=O,-0.401798469
O=C(O)C1=CC(C)=CC=C1,-0.157402085
CC1=CC=C(C(O)=O)C=C1,-0.446675714
OC(C1=CC=C(O)C(OC)=C1)=O,-0.129310897
OC(CCC1=CC=CC=C1)=O,-0.397732191
OC(CC1=CC=CC=C1)=O,-0.931391797
O=C(C1=CC=CC(O)=C1O)O,1.055881143
O=C(C1=CC=C(O)C(O)=C1)O,0.802822704
O=C(C1=CC=C(O)C=C1)O,-1.882038923
OC(CCCC1=CC=CC=C1)=O,-0.734624929
O=C(C(C)C(O)=O)O,0.511255494
O=C(O)CC(C(O)=O)=C,0.545673641
OC1=CC=C(/C=C/C(O[C@@H]2C[C@](O)(C(O)=O)C[C@@H](O)[C@H]2O)=O)C=C1O,0.508485429
O=C(O)[C@H](O)[C@@H](O)C(O)=O,0.572442142
O=C(CO)O,0.288542916
O=C(O)C1=CC=CC([N+]([O-])=O)=C1,1.213459567
O=C(O)C1=C([N+]([O-])=O)C=CC=C1,0.884647125
OC(/C=C(C)/C)=O,-2.590823241
NC1=CC=C(C(O)=O)C=C1,-1.681333769
O=C(/C=C/C=C/C)O,-1.849011497
OC(C1=CC=CC=C1OC(C)=O)=O,1.069784243
O=C(O)C1=CC=C([N+]([O-])=O)C=C1,1.239900297
OC(/C=C/C=C/C(O)=O)=O,0.829451351
O=C(CCCCCCCCC(O)=O)O,1.091419095
O=C(C1=CC=CC(C(O)=O)=C1)O,0.771754435
